iteration,strategy,rl_model,data_group,portfolio_values
101,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99567.203768
2022-01-05     99090.876988
2022-01-06     99467.295821
2022-01-07     99720.648391
                  ...      
2023-12-22    100581.584488
2023-12-26    101363.017207
2023-12-27    101542.359321
2023-12-28    101583.303234
2023-12-29    101414.835974
Length: 501, dtype: float64"
101,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100129.164490
2022-01-05     99073.853333
2022-01-06     98525.207207
2022-01-07     98364.659186
                  ...      
2023-12-22     86247.720088
2023-12-26     86364.872457
2023-12-27     86384.982147
2023-12-28     86473.610259
2023-12-29     86486.709663
Length: 501, dtype: float64"
101,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99647.150757
2022-01-05     99133.227860
2022-01-06     99098.298403
2022-01-07     99378.781868
                  ...      
2023-12-22     80835.199448
2023-12-26     81168.537571
2023-12-27     81337.821568
2023-12-28     81281.395415
2023-12-29     81144.968154
Length: 501, dtype: float64"
101,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100260.264467
2022-01-05     98969.744971
2022-01-06     98308.389906
2022-01-07     97976.783421
                  ...      
2023-12-22     88937.178992
2023-12-26     89110.279297
2023-12-27     89112.368159
2023-12-28     89229.666968
2023-12-29     89164.926615
Length: 501, dtype: float64"
101,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99199.999697
2022-01-05     98448.074131
2022-01-06     98359.189265
2022-01-07     98327.738022
                  ...      
2023-12-22     89452.535612
2023-12-26     90079.831033
2023-12-27     90236.361016
2023-12-28     90178.902108
2023-12-29     89996.082508
Length: 501, dtype: float64"
101,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99864.143939
2022-01-05     98510.468431
2022-01-06     97832.743505
2022-01-07     97465.038061
                  ...      
2023-12-22     98968.318727
2023-12-26     99150.582888
2023-12-27     99119.404377
2023-12-28     99229.557036
2023-12-29     99307.869857
Length: 501, dtype: float64"
101,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99567.203768
2022-01-05     99090.876988
2022-01-06     99467.295821
2022-01-07     99720.648391
                  ...      
2023-12-22    100581.584488
2023-12-26    101363.017207
2023-12-27    101542.359321
2023-12-28    101583.303234
2023-12-29    101414.835974
Length: 501, dtype: float64"
103,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99993.570618
2022-01-05     99013.610057
2022-01-06     99181.088354
2022-01-07     98807.029243
                  ...      
2023-12-22     78912.655673
2023-12-26     79074.357580
2023-12-27     79072.587260
2023-12-28     79142.098914
2023-12-29     78996.938053
Length: 501, dtype: float64"
103,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99495.000523
2022-01-05     98162.052414
2022-01-06     97796.751647
2022-01-07     97447.904410
                  ...      
2023-12-22     80413.699254
2023-12-26     80641.300409
2023-12-27     80721.428479
2023-12-28     80861.606878
2023-12-29     80807.262177
Length: 501, dtype: float64"
103,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100284.676541
2022-01-05     99463.646291
2022-01-06     99674.159529
2022-01-07     99962.376175
                  ...      
2023-12-22     83302.590729
2023-12-26     83613.144038
2023-12-27     83554.499995
2023-12-28     83618.587856
2023-12-29     83460.153926
Length: 501, dtype: float64"
103,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99711.039226
2022-01-05     98575.883394
2022-01-06     98182.141552
2022-01-07     97760.782062
                  ...      
2023-12-22     80369.176008
2023-12-26     80743.062640
2023-12-27     80820.284513
2023-12-28     80873.064345
2023-12-29     80876.917476
Length: 501, dtype: float64"
103,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100399.234351
2022-01-05     99874.809619
2022-01-06     99792.120140
2022-01-07    100302.465392
                  ...      
2023-12-22     99260.064258
2023-12-26     99565.029936
2023-12-27     99596.078767
2023-12-28     99746.827597
2023-12-29     99599.141546
Length: 501, dtype: float64"
103,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99346.814178
2022-01-05     97960.360015
2022-01-06     97466.912254
2022-01-07     97166.377979
                  ...      
2023-12-22    102633.613494
2023-12-26    102978.019113
2023-12-27    103065.947429
2023-12-28    103169.605121
2023-12-29    103239.964051
Length: 501, dtype: float64"
103,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100289.195249
2022-01-05     99531.059621
2022-01-06     99523.705545
2022-01-07     99587.190324
                  ...      
2023-12-22     79777.061284
2023-12-26     79987.464773
2023-12-27     80023.233711
2023-12-28     79988.430172
2023-12-29     79853.442759
Length: 501, dtype: float64"
103,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99621.159128
2022-01-05     97977.229635
2022-01-06     97647.760626
2022-01-07     97544.917691
                  ...      
2023-12-22     91358.878332
2023-12-26     91727.492500
2023-12-27     91818.664691
2023-12-28     92000.824272
2023-12-29     91917.244664
Length: 501, dtype: float64"
103,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99625.624177
2022-01-05     98861.565551
2022-01-06     98891.130764
2022-01-07     99207.054948
                  ...      
2023-12-22     79639.715446
2023-12-26     79842.938038
2023-12-27     79832.668894
2023-12-28     79855.142376
2023-12-29     79721.146259
Length: 501, dtype: float64"
103,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99423.858974
2022-01-05     98557.283614
2022-01-06     98288.702491
2022-01-07     98193.660259
                  ...      
2023-12-22     90570.687343
2023-12-26     90887.037986
2023-12-27     91013.536674
2023-12-28     91163.881068
2023-12-29     91166.977609
Length: 501, dtype: float64"
103,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100399.234351
2022-01-05     99874.809619
2022-01-06     99792.120140
2022-01-07    100302.465392
                  ...      
2023-12-22     99260.064258
2023-12-26     99565.029936
2023-12-27     99596.078767
2023-12-28     99746.827597
2023-12-29     99599.141546
Length: 501, dtype: float64"
103,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99346.814178
2022-01-05     97960.360015
2022-01-06     97466.912254
2022-01-07     97166.377979
                  ...      
2023-12-22    102633.613494
2023-12-26    102978.019113
2023-12-27    103065.947429
2023-12-28    103169.605121
2023-12-29    103239.964051
Length: 501, dtype: float64"
